rut,nombre,apellido,telefono,email
01234567-8,Claudia,Vásquez,991234567,claudia.vasquez@example.com
12345678-9,Juan,Pérez,987654321,juan.perez@example.com
23456789-0,María,González,912345678,maria.gonzalez@example.com
34567890-1,Carlos,López,934567890,carlos.lopez@example.com
45678901-2,Ana,Martínez,945678901,ana.martinez@example.com
56789012-3,Luis,Fernández,956789012,luis.fernandez@example.com
67890123-4,Sofía,Ramírez,967890123,sofia.ramirez@example.com
78901234-5,Diego,Torres,978901234,diego.torres@example.com
89012345-6,Laura,Hernández,989012345,laura.hernandez@example.com
90123456-7,Javier,Gutiérrez,990123456,javier.gutierrez@example.com
