id,codigo_producto,descripcion_anterior,descripcion_nueva,stock_anterior,stock_nuevo,fecha,source_table,rut,nombre,apellido,telefono,email,rut_cliente,Cliente,Compras,numero_factura,cod_producto,valor_producto,cantidad,rut_proveedor,fecha_suministro,codigo,descripcion,stock,valor,CodigoProducto,Producto,Total,TotalIngresos,Mes,Año,Descripcion,TotalUnidadesVendidas,razon_social,direccion,RutProveedor,RazonSocial,id_suministra,rut_vendedor,Vendedor
1.0,INSUMO003,Desinfectante,gerdex,200.0,15.0,2024-12-14 19:17:09,auditoriaproductos.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,01234567-8,Claudia,Vásquez,991234567.0,claudia.vasquez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,12345678-9,Juan,Pérez,987654321.0,juan.perez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,23456789-0,María,González,912345678.0,maria.gonzalez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,34567890-1,Carlos,López,934567890.0,carlos.lopez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,45678901-2,Ana,Martínez,945678901.0,ana.martinez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,56789012-3,Luis,Fernández,956789012.0,luis.fernandez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,67890123-4,Sofía,Ramírez,967890123.0,sofia.ramirez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,78901234-5,Diego,Torres,978901234.0,diego.torres@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,89012345-6,Laura,Hernández,989012345.0,laura.hernandez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientes.csv,90123456-7,Javier,Gutiérrez,990123456.0,javier.gutierrez@example.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,01234567-8,Claudia Vásquez,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,90123456-7,Javier Gutiérrez,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,45678901-2,Ana Martínez,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,12345678-9,Juan Pérez,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,34567890-1,Carlos López,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,89012345-6,Laura Hernández,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,56789012-3,Luis Fernández,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,67890123-4,Sofía Ramírez,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,78901234-5,Diego Torres,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,clientesfrecuentes.csv,,,,,,23456789-0,María González,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2023-11-01,facturas.csv,23456789-2,,,,,45678901-2,,,1.0,INSUMO005,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-09-01,facturas.csv,23456789-2,,,,,45678901-2,,,2.0,INSUMO004,30.0,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-07-22,facturas.csv,12345678-1,,,,,12345678-9,,,3.0,INSUMO007,0.75,6.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-06-14,facturas.csv,56789012-5,,,,,90123456-7,,,4.0,INSUMO009,90.0,4.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-06-14,facturas.csv,56789012-5,,,,,90123456-7,,,5.0,INSUMO008,20.0,3.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-05-12,facturas.csv,45678901-4,,,,,89012345-6,,,6.0,INSUMO008,175.5,3.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-04-09,facturas.csv,34567890-3,,,,,56789012-3,,,7.0,INSUMO005,5.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-03-22,facturas.csv,12345678-1,,,,,12345678-9,,,8.0,INSUMO003,150.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-03-25,facturas.csv,12345678-1,,,,,12345678-9,,,9.0,INSUMO001,150.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-03-22,facturas.csv,12345678-1,,,,,12345678-9,,,10.0,INSUMO001,150.0,2.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-02-17,facturas.csv,12345678-1,,,,,23456789-0,,,11.0,INSUMO002,250.5,1.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,2024-02-14,facturas.csv,23456789-2,,,,,34567890-1,,,12.0,INSUMO003,10.75,7.0,,,,,,,,,,,,,,,,,,,,,
